TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.812,0.754,0.243,0.657,0.361
0.724,0.661,0.06,0.373,0.511
0.433,0.385,0.162,0.222,0.393
0.774,0.719,0.228,0.59,0.312
0.568,0.569,0.08,0.344,0.452
0.423,0.42,0.107,0.21,0.261
0.603,0.735,0.172,0.399,0.53
0.876,0.835,0.022,0.701,0.655
0.23,0.385,0.04,0.122,0.512
0.167,0.291,0.074,0.081,0.465
0.892,0.821,0.154,0.701,0.506
0.577,0.605,0.075,0.361,0.366
0.756,0.718,0.121,0.438,0.479
0.454,0.482,0.133,0.273,0.589
0.898,0.863,0.072,0.708,0.461
0.311,0.484,0.069,0.151,0.473
0.218,0.269,0.057,0.065,0.244
0.588,0.567,0.058,0.353,0.364
0.494,0.515,0.145,0.28,0.536
0.567,0.568,0.045,0.353,0.298
0.664,0.689,0.089,0.424,0.509
0.876,0.828,0.091,0.697,0.605
0.988,0.964,0.029,0.529,0.792
0.834,0.731,0.207,0.662,0.357
0.422,0.369,0.11,0.24,0.13
0.624,0.604,0.069,0.367,0.259
0.838,0.849,0.095,0.63,0.669
0.401,0.398,0.099,0.252,0.264
0.687,0.671,0.142,0.533,0.551
0.656,0.697,0.092,0.397,0.602
0.51,0.451,0.063,0.296,0.5
0.789,0.807,0.013,0.581,0.855
0.919,0.805,0.085,0.66,0.541
0.83,0.815,0.072,0.561,0.517
0.829,0.779,0.131,0.564,0.503
0.815,0.745,0.231,0.599,0.295
0.853,0.858,0.049,0.541,0.636
0.811,0.747,0.231,0.619,0.345
0.894,0.819,0.093,0.642,0.502
0.418,0.368,0.082,0.195,0.248
0.895,0.9,0.052,0.5,0.779
0.904,0.82,0.077,0.647,0.774
0.746,0.841,0.077,0.551,0.651
0.905,0.808,0.114,0.717,0.532
0.322,0.322,0.071,0.142,0.401
0.444,0.494,0.155,0.277,0.518
0.85,0.837,0.103,0.564,0.455
0.854,0.898,0.05,0.568,0.702
0.235,0.314,0.09,0.116,0.483
0.916,0.966,0.075,0.528,0.708
0.814,0.744,0.167,0.536,0.548
0.792,0.71,0.179,0.516,0.348
0.426,0.405,0.057,0.251,0.328
0.155,0.211,0.084,0.083,0.352
0.48,0.546,0.053,0.248,0.551
0.964,0.794,0.425,0.691,0.396
0.789,0.66,0.148,0.528,0.462
0.872,0.804,0.211,0.667,0.541
0.275,0.479,0.055,0.129,0.464
0.888,0.898,0.065,0.711,0.514
0.877,0.802,0.094,0.711,0.593
0.518,0.537,0.055,0.325,0.651
0.214,0.328,0.047,0.115,0.334
0.345,0.296,0.106,0.191,0.373
0.297,0.457,0.047,0.132,0.36
0.863,0.814,0.083,0.617,0.566
0.869,0.879,0.055,0.564,0.584
0.887,0.84,0.028,0.672,0.804
0.846,0.748,0.123,0.665,0.279
0.923,0.903,0.053,0.684,0.723
0.846,0.854,0.064,0.511,0.506
0.816,0.839,0.104,0.509,0.557
0.821,0.778,0.122,0.543,0.663
0.869,0.699,0.08,0.64,0.348
0.611,0.61,0.053,0.375,0.533
0.33,0.368,0.039,0.161,0.553
0.851,0.718,0.213,0.656,0.464
0.872,0.871,0.027,0.625,0.776
0.578,0.455,0.177,0.295,0.273
0.666,0.646,0.145,0.467,0.572
0.676,0.66,0.128,0.466,0.53
0.881,0.742,0.313,0.71,0.309
0.432,0.416,0.096,0.203,0.414
0.515,0.564,0.104,0.264,0.447
0.791,0.759,0.188,0.598,0.401
0.473,0.437,0.164,0.267,0.322
0.482,0.522,0.086,0.256,0.428
0.877,0.748,0.26,0.69,0.358
0.249,0.33,0.078,0.143,0.464
0.363,0.384,0.043,0.15,0.34
0.86,0.842,0.118,0.638,0.532
0.887,0.822,0.061,0.595,0.643
0.305,0.323,0.057,0.191,0.304
0.703,0.716,0.052,0.429,0.509
0.624,0.654,0.049,0.399,0.643
0.734,0.776,0.109,0.51,0.569
0.893,0.835,0.106,0.645,0.652
0.72,0.647,0.198,0.46,0.348
0.58,0.641,0.07,0.342,0.322
0.926,0.914,0.075,0.576,0.718
0.8,0.859,0.0,0.472,1.0
0.444,0.408,0.152,0.219,0.489
0.702,0.617,0.23,0.511,0.36
0.948,0.963,0.014,0.652,0.748
0.515,0.568,0.091,0.244,0.505
0.667,0.635,0.134,0.436,0.367
0.596,0.705,0.152,0.396,0.559
0.833,0.782,0.131,0.588,0.557
0.539,0.511,0.031,0.288,0.562
0.57,0.638,0.063,0.462,0.506
0.568,0.558,0.072,0.35,0.25
0.832,0.776,0.265,0.583,0.497
0.897,0.735,0.181,0.698,0.45
0.594,0.651,0.074,0.368,0.502
0.892,0.817,0.141,0.679,0.541
0.902,0.785,0.11,0.719,0.417
0.666,0.679,0.099,0.482,0.58
0.924,0.881,0.082,0.722,0.634
0.861,0.813,0.164,0.635,0.571
0.674,0.674,0.053,0.406,0.452
0.673,0.614,0.094,0.368,0.495
0.81,0.769,0.506,0.674,0.434
0.854,0.701,0.619,0.665,0.217
0.81,0.76,0.185,0.624,0.364
0.89,0.823,0.042,0.681,0.699
0.893,0.879,0.022,0.628,0.648
0.898,0.903,0.005,0.638,0.721
0.747,0.864,0.063,0.538,0.605
0.588,0.483,0.136,0.314,0.348
0.865,0.845,0.033,0.629,0.589
0.751,0.758,0.172,0.542,0.627
0.891,0.819,0.049,0.662,0.443
0.408,0.499,0.078,0.206,0.483
0.87,0.804,0.125,0.639,0.601
0.86,0.833,0.118,0.792,0.642
0.8,0.727,0.373,0.643,0.331
0.867,0.838,0.091,0.631,0.667
0.175,0.185,0.045,0.064,0.456
0.86,0.824,0.111,0.589,0.535
0.914,0.909,0.018,0.847,0.732
0.85,0.851,0.057,0.623,0.795
0.656,0.606,0.121,0.425,0.633
0.416,0.409,0.08,0.262,0.274
0.648,0.72,0.07,0.506,0.404
0.698,0.707,0.091,0.5,0.514
0.776,0.746,0.135,0.58,0.503
0.862,0.836,0.088,0.609,0.623
0.79,0.743,0.159,0.586,0.411
0.861,0.766,0.208,0.694,0.337
0.869,0.769,0.208,0.628,0.595
0.252,0.299,0.055,0.138,0.447
0.614,0.645,0.117,0.441,0.429
0.503,0.555,0.063,0.366,0.407
0.963,0.862,0.051,0.674,0.607
0.61,0.62,0.059,0.395,0.473
0.546,0.477,0.106,0.356,0.321
0.35,0.411,0.035,0.185,0.599
0.691,0.708,0.069,0.424,0.529
0.508,0.555,0.092,0.26,0.473
0.878,0.846,0.109,0.696,0.648
0.792,0.744,0.181,0.604,0.456
0.264,0.307,0.078,0.108,0.44
0.413,0.463,0.093,0.232,0.524
0.886,0.907,0.088,0.521,0.72
0.541,0.427,0.129,0.292,0.245
0.637,0.654,0.086,0.457,0.536
0.403,0.453,0.06,0.248,0.196
0.444,0.491,0.209,0.268,0.5
0.777,0.797,0.123,0.551,0.583
0.585,0.719,0.156,0.384,0.536
0.901,0.965,0.036,0.517,0.786
0.317,0.337,0.095,0.203,0.232
0.412,0.392,0.09,0.259,0.22
0.125,0.234,0.019,0.049,0.584
0.839,0.81,0.093,0.523,0.625
0.83,0.738,0.146,0.607,0.587
0.911,0.864,0.056,0.699,0.66
0.819,0.805,0.01,0.584,0.464
0.561,0.582,0.056,0.34,0.383
0.551,0.541,0.055,0.31,0.512
0.416,0.477,0.101,0.232,0.455
0.599,0.547,0.046,0.331,0.498
0.857,0.802,0.154,0.639,0.535
0.96,0.788,0.059,0.716,0.714
0.873,0.716,0.4,0.699,0.25
0.791,0.753,0.131,0.594,0.367
0.583,0.589,0.124,0.392,0.483
0.854,0.771,0.198,0.736,0.352
0.897,0.775,0.084,0.676,0.486
0.973,0.8,0.007,0.726,0.723
0.563,0.52,0.122,0.372,0.447
0.863,0.74,0.182,0.685,0.25
0.686,0.606,0.119,0.402,0.38
0.485,0.5,0.188,0.276,0.34
0.685,0.619,0.093,0.327,0.401
0.577,0.585,0.072,0.355,0.334
0.876,0.826,0.163,0.66,0.631
0.855,0.826,0.082,0.621,0.637
0.532,0.504,0.125,0.324,0.464
0.938,0.919,0.067,0.724,0.633
0.821,0.715,0.428,0.665,0.312
0.861,0.817,0.111,0.643,0.572
0.472,0.513,0.122,0.286,0.468
0.558,0.543,0.06,0.311,0.542
0.922,0.954,0.044,0.555,0.798
0.646,0.637,0.322,0.454,0.449
0.88,0.788,0.048,0.704,0.37
0.719,0.763,0.111,0.473,0.535
0.387,0.451,0.067,0.213,0.563
0.483,0.489,0.08,0.255,0.473
0.843,0.818,0.14,0.559,0.495
0.628,0.644,0.057,0.382,0.373
0.595,0.612,0.052,0.362,0.455
0.8,0.729,0.182,0.625,0.331
0.975,0.958,0.051,0.761,0.515
0.682,0.575,0.195,0.469,0.357
0.216,0.441,0.057,0.105,0.584
0.338,0.406,0.033,0.15,0.407
0.849,0.795,0.0,0.695,0.151
0.409,0.491,0.08,0.204,0.386
0.569,0.606,0.141,0.363,0.465
0.344,0.389,0.026,0.19,0.551
0.577,0.616,0.04,0.282,0.59
0.449,0.483,0.23,0.276,0.486
0.533,0.566,0.03,0.342,0.613
0.911,0.906,0.099,0.534,0.575
0.855,0.702,0.471,0.685,0.286
0.857,0.805,0.151,0.635,0.554
0.866,0.837,0.123,0.682,0.634
0.692,0.613,0.066,0.381,0.381
0.87,0.825,0.115,0.57,0.622
0.839,0.815,0.096,0.608,0.577
0.527,0.509,0.083,0.273,0.462
0.588,0.585,0.09,0.362,0.316
0.861,0.896,0.027,0.508,0.649
0.736,0.713,0.307,0.541,0.268
0.571,0.617,0.058,0.356,0.614
0.489,0.528,0.183,0.291,0.377
0.405,0.523,0.065,0.203,0.539
0.969,0.91,0.031,0.57,0.773
0.563,0.484,0.134,0.34,0.298
0.676,0.585,0.027,0.436,0.58
0.574,0.596,0.049,0.337,0.506
0.321,0.323,0.045,0.132,0.389
0.757,0.739,0.044,0.523,0.48
0.924,0.935,0.028,0.72,0.398
0.876,0.882,0.049,0.624,0.819
0.744,0.654,0.206,0.497,0.199
0.749,0.72,0.164,0.524,0.48
0.623,0.534,0.056,0.319,0.526
0.626,0.617,0.113,0.379,0.61
0.906,0.797,0.126,0.69,0.446
0.657,0.688,0.088,0.416,0.512
0.593,0.597,0.056,0.363,0.324
0.566,0.491,0.16,0.316,0.375
0.487,0.506,0.166,0.317,0.291
0.842,0.779,0.145,0.52,0.664
0.038,0.013,0.08,0.011,0.205
0.844,0.836,0.056,0.475,0.532
0.874,0.955,0.008,0.531,0.914
0.905,0.832,0.091,0.678,0.69
0.87,0.773,0.148,0.643,0.536
0.351,0.459,0.014,0.141,0.604
0.758,0.922,0.0,0.721,0.605
0.793,0.748,0.191,0.559,0.377
0.456,0.483,0.082,0.278,0.203
0.722,0.715,0.084,0.439,0.511
0.656,0.666,0.048,0.479,0.527
0.888,0.844,0.054,0.632,0.724
0.608,0.677,0.06,0.384,0.477
0.825,0.79,0.101,0.602,0.59
0.66,0.567,0.171,0.467,0.327
0.358,0.392,0.04,0.182,0.241
0.893,0.871,0.098,0.61,0.652
0.811,0.809,0.198,0.574,0.535
0.935,0.792,0.03,0.704,0.661
0.841,0.742,0.299,0.67,0.169
0.746,0.715,0.21,0.537,0.489
0.513,0.568,0.06,0.238,0.554
0.588,0.591,0.085,0.357,0.386
0.861,0.87,0.055,0.537,0.639
0.587,0.628,0.05,0.351,0.517
0.82,0.769,0.166,0.598,0.574
0.362,0.424,0.173,0.23,0.492
0.365,0.348,0.198,0.238,0.215
0.814,0.828,0.108,0.572,0.438
0.903,0.851,0.053,0.674,0.702
0.577,0.584,0.056,0.352,0.589
0.816,0.746,0.163,0.638,0.27
0.515,0.49,0.187,0.308,0.396
0.86,0.892,0.09,0.615,0.779
0.828,0.807,0.086,0.564,0.642
0.83,0.841,0.109,0.523,0.655
0.571,0.607,0.021,0.361,0.476
0.81,0.789,0.148,0.565,0.455
0.563,0.49,0.19,0.37,0.358
0.329,0.317,0.072,0.139,0.318
0.757,0.789,0.083,0.499,0.649
0.839,0.82,0.088,0.535,0.62
0.566,0.554,0.118,0.365,0.384
0.894,0.819,0.069,0.647,0.476
0.838,0.775,0.072,0.527,0.613
0.848,0.89,0.034,0.688,0.715
0.834,0.757,0.165,0.538,0.627
0.536,0.559,0.11,0.303,0.599
0.747,0.733,0.226,0.528,0.3
0.758,0.711,0.21,0.529,0.533
0.634,0.561,0.181,0.429,0.553
0.809,0.795,0.018,0.552,0.697
0.922,0.916,0.036,0.598,0.758
0.716,0.56,0.142,0.503,0.038
0.767,0.736,0.056,0.393,0.584
0.311,0.495,0.066,0.161,0.52
0.685,0.589,0.168,0.48,0.304
0.242,0.223,0.046,0.016,0.148
0.823,0.781,0.005,0.586,0.566
0.705,0.659,0.209,0.426,0.577
0.743,0.666,0.167,0.471,0.297
0.866,0.86,0.053,0.553,0.652
0.856,0.813,0.127,0.629,0.605
0.443,0.458,0.059,0.146,0.545
0.868,0.811,0.067,0.633,0.688
0.867,0.889,0.009,0.634,0.756
0.544,0.588,0.034,0.326,0.452
0.679,0.671,0.151,0.411,0.422
0.566,0.58,0.035,0.319,0.595
0.469,0.442,0.044,0.26,0.535
0.586,0.623,0.041,0.347,0.583
0.894,0.857,0.056,0.727,0.768
0.825,0.787,0.13,0.591,0.658
0.847,0.817,0.07,0.502,0.44
0.904,0.907,0.025,0.451,0.655
0.83,0.769,0.138,0.567,0.565
0.596,0.584,0.042,0.366,0.574
0.744,0.722,0.208,0.567,0.265
0.427,0.374,0.072,0.199,0.339
0.781,0.831,0.104,0.523,0.523
0.734,0.708,0.081,0.473,0.479
0.745,0.82,0.118,0.553,0.553
0.889,0.869,0.024,0.5,0.399
0.397,0.351,0.016,0.169,0.53
0.278,0.479,0.03,0.129,0.62
0.53,0.537,0.151,0.329,0.39
0.887,0.811,0.116,0.691,0.455
0.827,0.713,0.472,0.641,0.289
0.786,0.754,0.229,0.539,0.452
0.636,0.625,0.233,0.48,0.37
0.816,0.772,0.151,0.621,0.491
0.617,0.66,0.1,0.38,0.554
0.798,0.704,0.3,0.609,0.33
0.877,0.914,0.034,0.587,0.798
0.8,0.713,0.095,0.541,0.649
0.713,0.676,0.067,0.514,0.488
0.398,0.455,0.149,0.24,0.295
0.921,0.911,0.008,0.678,0.0
0.869,0.836,0.084,0.596,0.69
0.854,0.842,0.039,0.522,0.556
0.233,0.275,0.089,0.111,0.307
0.842,0.812,0.164,0.678,0.511
0.813,0.771,0.123,0.643,0.318
0.662,0.689,0.082,0.363,0.533
0.648,0.614,0.076,0.359,0.529
0.888,0.788,0.104,0.659,0.435
0.81,0.778,0.135,0.569,0.58
0.503,0.506,0.072,0.335,0.523
0.923,0.899,0.063,0.63,0.687
0.574,0.478,0.174,0.365,0.369
0.911,0.912,0.099,0.642,0.575
0.73,0.804,0.096,0.449,0.465
0.558,0.54,0.133,0.318,0.458
0.238,0.358,0.051,0.076,0.619
0.417,0.429,0.098,0.222,0.261
0.576,0.716,0.118,0.403,0.61
0.857,0.852,0.075,0.553,0.633
0.498,0.558,0.095,0.251,0.55
0.356,0.328,0.246,0.229,0.212
0.645,0.71,0.102,0.508,0.416
0.823,0.795,0.124,0.635,0.432
0.818,0.773,0.143,0.532,0.604
0.932,0.787,0.018,0.757,0.354
0.837,0.78,0.148,0.568,0.474
0.804,0.778,0.072,0.596,0.477
0.566,0.518,0.146,0.331,0.38
0.801,0.758,0.148,0.569,0.48
0.859,0.764,0.113,0.693,0.345
0.603,0.66,0.225,0.416,0.52
0.571,0.631,0.051,0.331,0.619
0.734,0.648,0.152,0.481,0.307
0.546,0.466,0.056,0.312,0.357
0.311,0.39,0.023,0.1,0.599
0.34,0.375,0.052,0.184,0.515
0.817,0.76,0.278,0.623,0.458
0.418,0.377,0.165,0.219,0.361
0.857,0.866,0.02,0.63,0.666
0.397,0.383,0.078,0.178,0.267
0.534,0.549,0.101,0.198,0.767
0.795,0.769,0.178,0.602,0.456
0.878,0.953,0.039,0.62,0.786
0.363,0.305,0.107,0.174,0.42
0.529,0.52,0.042,0.287,0.625
0.91,0.766,0.107,0.732,0.574
0.776,0.681,0.326,0.561,0.247
0.902,0.882,0.028,0.635,0.533
0.725,0.681,0.139,0.515,0.483
0.633,0.629,0.324,0.446,0.413
0.801,0.859,0.05,0.651,0.768
0.623,0.593,0.123,0.408,0.381
0.847,0.754,0.093,0.624,0.224
0.813,0.803,0.128,0.583,0.601
0.827,0.743,0.433,0.688,0.381
0.57,0.492,0.12,0.365,0.318
0.59,0.476,0.371,0.375,0.315
0.95,0.91,0.001,0.702,0.348
0.884,0.688,0.262,0.726,0.28
0.691,0.726,0.049,0.407,0.533
0.624,0.654,0.052,0.395,0.655
0.461,0.488,0.064,0.152,0.623
0.88,0.786,0.176,0.686,0.39
0.573,0.505,0.1,0.343,0.351
0.82,0.836,0.143,0.593,0.563
0.901,0.901,0.123,0.728,0.619
0.8,0.792,0.062,0.463,0.553
0.527,0.527,0.134,0.264,0.569
0.843,0.76,0.194,0.63,0.511
0.595,0.66,0.047,0.414,0.578
0.816,0.816,0.085,0.55,0.667
0.734,0.836,0.089,0.571,0.657
0.851,0.79,0.141,0.652,0.485
0.778,0.75,0.378,0.651,0.0
0.91,0.835,0.044,0.703,0.523
0.195,0.267,0.074,0.094,0.244
0.833,0.785,0.072,0.51,0.571
0.831,0.812,0.069,0.598,0.666
0.364,0.306,0.107,0.183,0.405
0.836,0.872,0.057,0.651,0.667
0.879,0.851,0.059,0.705,0.657
0.646,0.665,0.053,0.439,0.444
0.892,0.917,0.011,0.677,0.642
0.86,0.875,0.061,0.533,0.646
0.743,0.74,0.112,0.51,0.524
0.905,0.875,0.064,0.704,0.548
0.664,0.592,0.131,0.419,0.645
0.911,0.825,0.062,0.759,0.616
0.961,0.978,0.017,0.615,0.514
0.395,0.577,0.072,0.191,0.696
0.694,0.637,0.082,0.356,0.44
0.816,0.757,0.177,0.639,0.41
0.234,0.321,0.04,0.146,0.443
0.684,0.664,0.164,0.482,0.586
0.334,0.312,0.226,0.214,0.196
0.224,0.255,0.055,0.101,0.223
0.858,0.864,0.092,0.718,0.593
0.803,0.76,0.038,0.519,0.724
0.82,0.736,0.159,0.614,0.404
0.843,0.777,0.081,0.669,0.461
0.591,0.648,0.018,0.405,0.654
0.858,0.819,0.105,0.532,0.52
0.58,0.578,0.104,0.381,0.357
0.864,0.773,0.144,0.697,0.432
0.422,0.497,0.075,0.212,0.541
0.893,0.882,0.002,0.546,0.855
0.877,0.923,0.0,0.927,0.815
0.849,0.805,0.115,0.686,0.482
0.842,0.769,0.119,0.572,0.649
0.436,0.472,0.068,0.244,0.617
0.512,0.523,0.076,0.29,0.458
0.301,0.508,0.068,0.141,0.527
0.298,0.394,0.106,0.163,0.458
0.873,0.846,0.07,0.607,0.661
0.815,0.757,0.325,0.668,0.408
0.882,0.813,0.143,0.596,0.623
0.552,0.581,0.159,0.42,0.45
0.908,0.831,0.095,0.671,0.648
0.58,0.651,0.059,0.388,0.535
0.762,0.744,0.062,0.462,0.545
0.494,0.531,0.076,0.285,0.411
0.566,0.592,0.091,0.377,0.443
0.716,0.695,0.096,0.489,0.491
0.557,0.569,0.033,0.309,0.578
0.8,0.793,0.099,0.502,0.489
0.822,0.781,0.133,0.631,0.447
0.895,0.907,0.096,0.511,0.753
0.695,0.759,0.127,0.457,0.325
0.837,0.784,0.092,0.644,0.532
0.719,0.717,0.094,0.42,0.536
0.798,0.725,0.178,0.437,0.539
0.469,0.508,0.165,0.322,0.41
0.813,0.74,0.098,0.505,0.599
0.809,0.739,0.138,0.575,0.502
0.519,0.499,0.125,0.321,0.434
0.847,0.734,0.565,0.681,0.378
0.426,0.476,0.163,0.268,0.479
0.556,0.542,0.024,0.324,0.492
0.493,0.481,0.106,0.251,0.575
0.877,0.806,0.112,0.629,0.461
0.879,0.849,0.288,0.679,0.789
0.632,0.578,0.099,0.327,0.449
0.552,0.486,0.15,0.307,0.369
0.493,0.574,0.063,0.286,0.524
0.84,0.698,0.286,0.697,0.367
0.46,0.454,0.074,0.236,0.461
0.842,0.847,0.08,0.674,0.631
0.885,0.794,0.12,0.686,0.664
0.689,0.876,0.042,0.354,0.72
0.206,0.368,0.027,0.122,0.538
0.79,0.754,0.189,0.559,0.373
0.781,0.823,0.113,0.598,0.562
0.409,0.359,0.112,0.257,0.324
0.636,0.554,0.25,0.389,0.428
0.413,0.405,0.103,0.222,0.377
0.832,0.792,0.075,0.526,0.559
0.864,0.773,0.151,0.723,0.518
0.815,0.756,0.143,0.616,0.494
0.902,0.946,0.086,0.552,0.652
0.866,0.791,0.131,0.613,0.607
0.595,0.494,0.369,0.373,0.437
0.849,0.831,0.243,0.684,0.574
0.893,0.833,0.068,0.683,0.642
0.84,0.824,0.057,0.558,0.697
0.489,0.43,0.11,0.288,0.455
0.855,0.784,0.168,0.713,0.363
0.745,0.707,0.073,0.482,0.41
0.485,0.532,0.167,0.296,0.428
0.602,0.632,0.154,0.405,0.464
0.837,0.77,0.056,0.596,0.491
0.811,0.77,0.13,0.618,0.498
0.847,0.742,0.244,0.678,0.355
0.913,0.86,0.068,0.679,0.553
0.786,0.76,0.214,0.572,0.59
0.862,0.785,0.196,0.637,0.592
0.665,0.683,0.232,0.477,0.581
0.684,0.677,0.065,0.403,0.529
0.469,0.592,0.097,0.261,0.568
0.784,0.771,0.1,0.489,0.643
0.818,0.851,0.057,0.53,0.73
0.897,0.914,0.051,0.734,0.709
0.719,0.812,0.065,0.443,0.596
0.781,0.714,0.144,0.588,0.345
0.714,0.668,0.103,0.429,0.542
0.858,0.778,0.164,0.682,0.432
0.766,0.686,0.275,0.544,0.306
0.607,0.503,0.127,0.347,0.336
0.757,0.824,0.106,0.552,0.571
0.848,0.873,0.026,0.612,0.756
0.609,0.684,0.096,0.392,0.444
0.471,0.441,0.073,0.231,0.435
0.832,0.82,0.102,0.594,0.553
0.782,0.767,0.124,0.569,0.492
0.538,0.508,0.134,0.33,0.309
0.871,0.729,0.248,0.704,0.262
0.792,0.756,0.164,0.562,0.505
0.884,0.804,0.049,0.503,0.652
0.882,0.799,0.054,0.645,0.306
0.507,0.537,0.082,0.272,0.474
0.277,0.26,0.09,0.129,0.182
0.823,0.841,0.132,0.657,0.669
0.734,0.764,0.118,0.512,0.407
0.463,0.47,0.152,0.265,0.313
0.853,0.81,0.238,0.669,0.511
0.356,0.406,0.045,0.166,0.533
0.45,0.446,0.026,0.268,0.477
0.618,0.556,0.063,0.308,0.432
0.87,0.83,0.019,0.658,0.676
0.857,0.846,0.091,0.667,0.724
0.795,0.749,0.159,0.583,0.602
0.822,0.81,0.062,0.524,0.37
0.849,0.857,0.03,0.535,0.542
0.428,0.413,0.168,0.237,0.327
0.798,0.735,0.126,0.602,0.423
0.587,0.583,0.062,0.36,0.524
0.58,0.613,0.081,0.353,0.438
0.819,0.807,0.098,0.562,0.643
0.723,0.725,0.041,0.381,0.559
0.927,0.919,0.038,0.65,0.842
0.829,0.763,0.149,0.588,0.584
0.852,0.765,0.144,0.606,0.533
0.865,0.78,0.2,0.629,0.608
0.594,0.627,0.108,0.381,0.435
0.893,0.905,0.113,0.671,0.768
0.829,0.759,0.135,0.66,0.497
0.682,0.728,0.064,0.441,0.494
0.799,0.73,0.262,0.542,0.488
0.351,0.407,0.205,0.217,0.485
0.5,0.47,0.081,0.306,0.464
0.9,0.812,0.04,0.669,0.693
0.722,0.724,0.0,0.509,0.968
0.673,0.633,0.196,0.445,0.369
0.694,0.643,0.066,0.338,0.449
0.889,0.836,0.06,0.662,0.764
0.752,0.729,0.083,0.469,0.541
0.877,0.834,0.089,0.494,0.648
0.65,0.71,0.125,0.514,0.39
0.816,0.819,0.101,0.524,0.437
0.865,0.87,0.074,0.707,0.639
0.744,0.725,0.036,0.506,0.492
0.864,0.807,0.128,0.598,0.658
0.842,0.826,0.163,0.578,0.614
0.157,0.232,0.057,0.069,0.458
0.481,0.477,0.141,0.275,0.387
0.322,0.473,0.05,0.203,0.435
0.862,0.787,0.055,0.643,0.462
0.752,0.859,0.066,0.562,0.538
0.881,0.803,0.1,0.677,0.732
0.878,0.853,0.039,0.483,0.617
0.961,0.769,0.013,0.765,0.495
0.489,0.52,0.154,0.282,0.339
0.473,0.578,0.105,0.262,0.52
0.919,0.789,0.071,0.713,0.069
0.578,0.541,0.09,0.344,0.5
0.686,0.686,0.06,0.412,0.443
0.889,0.825,0.049,0.657,0.718
0.641,0.624,0.09,0.378,0.517
0.653,0.612,0.254,0.435,0.413
0.792,0.749,0.228,0.568,0.449
0.34,0.458,0.037,0.157,0.613
0.675,0.661,0.087,0.447,0.622
0.633,0.569,0.081,0.326,0.363
0.288,0.34,0.042,0.12,0.518
0.821,0.771,0.106,0.587,0.572
0.768,0.768,0.164,0.513,0.456
0.836,0.741,0.244,0.668,0.242
0.336,0.368,0.056,0.181,0.553
0.436,0.457,0.083,0.262,0.181
0.358,0.411,0.041,0.208,0.413
0.848,0.811,0.118,0.591,0.601
0.353,0.439,0.028,0.202,0.419
0.885,0.919,0.01,0.664,0.839
0.665,0.708,0.071,0.548,0.449
0.829,0.725,0.254,0.654,0.301
0.562,0.603,0.056,0.281,0.545
0.426,0.379,0.045,0.19,0.375
0.918,0.91,0.074,0.585,0.658
0.683,0.665,0.099,0.437,0.657
0.793,0.725,0.21,0.575,0.41
0.594,0.593,0.07,0.394,0.264
0.733,0.653,0.214,0.483,0.398
0.398,0.373,0.1,0.242,0.178
0.624,0.658,0.119,0.4,0.458
0.371,0.364,0.099,0.24,0.167
0.873,0.847,0.041,0.589,0.723
0.804,0.798,0.082,0.544,0.616
0.531,0.507,0.122,0.321,0.47
0.352,0.414,0.05,0.127,0.574
0.813,0.819,0.016,0.497,0.575
0.586,0.593,0.164,0.367,0.431
0.889,0.801,0.132,0.668,0.658
0.878,0.713,0.508,0.696,0.255
0.646,0.635,0.218,0.477,0.422
0.79,0.721,0.14,0.434,0.634
0.652,0.736,0.05,0.506,0.486
0.585,0.71,0.189,0.393,0.547
0.282,0.302,0.075,0.149,0.459
0.824,0.776,0.125,0.674,0.413
0.584,0.571,0.063,0.326,0.52
0.59,0.629,0.085,0.405,0.515
0.793,0.807,0.025,0.582,0.447
0.824,0.766,0.286,0.643,0.333
0.8,0.732,0.202,0.607,0.364
0.516,0.513,0.147,0.32,0.381
0.304,0.312,0.085,0.131,0.292
0.847,0.723,0.276,0.679,0.244
0.856,0.808,0.143,0.679,0.58
0.948,0.809,0.236,0.731,0.358
0.866,0.798,0.139,0.611,0.613
0.57,0.553,0.067,0.366,0.363
0.63,0.535,0.127,0.426,0.274
0.043,0.023,0.073,0.015,0.154
0.865,0.861,0.028,0.602,0.64
0.616,0.531,0.278,0.419,0.2
0.873,0.835,0.076,0.769,0.622
0.592,0.667,0.026,0.328,0.619
0.593,0.643,0.161,0.422,0.404
0.776,0.684,0.133,0.608,0.334
0.676,0.595,0.116,0.359,0.426
0.66,0.567,0.216,0.439,0.369
0.817,0.793,0.1,0.543,0.649
0.629,0.707,0.095,0.4,0.492
0.714,0.92,0.043,0.335,0.747
0.518,0.584,0.054,0.278,0.648
0.878,0.857,0.055,0.564,0.574
0.51,0.551,0.1,0.232,0.5
0.584,0.574,0.104,0.359,0.349
0.594,0.608,0.062,0.357,0.363
0.422,0.432,0.09,0.223,0.264
0.878,0.823,0.131,0.529,0.596
0.902,0.879,0.113,0.609,0.69
0.784,0.742,0.156,0.568,0.509
0.532,0.541,0.137,0.27,0.554
0.691,0.706,0.059,0.424,0.536
0.835,0.755,0.173,0.549,0.498
0.756,0.718,0.191,0.597,0.479
0.633,0.605,0.079,0.313,0.505
0.276,0.308,0.078,0.12,0.42
0.793,0.819,0.13,0.484,0.431
0.505,0.507,0.14,0.313,0.342
0.604,0.629,0.044,0.435,0.639
0.731,0.774,0.132,0.512,0.461
0.825,0.827,0.142,0.628,0.42
