TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.595,0.609,0.061,0.395,0.521
0.689,0.719,0.055,0.413,0.563
0.166,0.201,0.062,0.092,0.291
0.592,0.657,0.14,0.395,0.575
0.82,0.814,0.186,0.591,0.691
0.464,0.424,0.097,0.218,0.423
0.76,0.715,0.491,0.561,0.134
0.364,0.358,0.048,0.233,0.306
0.78,0.788,0.183,0.543,0.473
0.848,0.82,0.054,0.659,0.518
0.322,0.321,0.044,0.123,0.28
0.611,0.627,0.094,0.437,0.364
0.869,0.795,0.11,0.659,0.593
0.869,0.836,0.052,0.705,0.646
0.833,0.754,0.179,0.641,0.497
0.795,0.753,0.145,0.629,0.426
0.748,0.709,0.234,0.577,0.36
0.841,0.801,0.1,0.578,0.572
0.763,0.707,0.134,0.575,0.547
0.881,0.832,0.11,0.693,0.654
0.199,0.327,0.041,0.06,0.634
0.485,0.553,0.192,0.291,0.401
0.365,0.45,0.172,0.183,0.785
0.653,0.679,0.131,0.423,0.425
0.438,0.399,0.086,0.2,0.321
0.885,0.801,0.116,0.693,0.608
0.779,0.743,0.117,0.558,0.544
0.483,0.447,0.061,0.25,0.44
0.59,0.62,0.057,0.373,0.444
0.467,0.458,0.119,0.285,0.538
0.488,0.462,0.119,0.273,0.386
0.481,0.5,0.188,0.283,0.367
0.594,0.519,0.073,0.332,0.488
0.836,0.821,0.153,0.568,0.7
0.777,0.724,0.213,0.573,0.396
0.589,0.608,0.057,0.409,0.459
0.851,0.769,0.175,0.601,0.578
0.517,0.54,0.094,0.284,0.503
0.933,0.858,0.069,0.61,0.774
0.621,0.623,0.132,0.44,0.37
0.927,0.845,0.04,0.641,0.744
0.842,0.76,0.158,0.626,0.491
0.842,0.821,0.164,0.65,0.389
0.653,0.891,0.04,0.345,0.741
0.691,0.67,0.155,0.478,0.614
0.45,0.469,0.071,0.146,0.553
0.794,0.731,0.221,0.592,0.429
0.908,0.908,0.091,0.522,0.705
0.848,0.737,0.232,0.668,0.229
0.817,0.764,0.164,0.625,0.565
0.48,0.489,0.063,0.256,0.428
0.897,0.875,0.125,0.679,0.583
0.284,0.463,0.065,0.132,0.495
0.895,0.855,0.06,0.695,0.727
0.862,0.74,0.116,0.662,0.511
0.263,0.355,0.09,0.131,0.551
0.744,0.815,0.097,0.553,0.571
0.359,0.422,0.046,0.197,0.342
0.804,0.742,0.177,0.616,0.342
0.753,0.729,0.206,0.538,0.547
0.634,0.705,0.145,0.472,0.559
0.185,0.323,0.071,0.06,0.551
0.666,0.586,0.216,0.454,0.36
0.669,0.631,0.108,0.426,0.407
0.976,0.935,0.006,0.665,0.651
0.418,0.454,0.088,0.227,0.306
0.877,0.897,0.016,0.709,0.831
0.86,0.762,0.205,0.692,0.292
0.879,0.866,0.073,0.638,0.73
0.881,0.895,0.078,0.631,0.717
0.734,0.819,0.099,0.467,0.548
0.0,0.0,0.084,0.0,0.181
0.597,0.682,0.064,0.454,0.533
0.508,0.48,0.159,0.264,0.494
0.357,0.424,0.198,0.235,0.583
0.587,0.695,0.13,0.389,0.553
0.698,0.736,0.083,0.461,0.48
0.816,0.776,0.15,0.568,0.548
0.702,0.703,0.073,0.479,0.479
0.583,0.688,0.084,0.405,0.456
0.619,0.623,0.119,0.441,0.485
0.503,0.562,0.119,0.301,0.444
0.202,0.234,0.06,0.06,0.175
0.899,0.829,0.116,0.7,0.682
0.551,0.525,0.037,0.299,0.471
0.904,0.838,0.131,0.674,0.541
0.88,0.721,0.196,0.679,0.41
0.854,0.804,0.146,0.642,0.61
0.774,0.716,0.129,0.588,0.392
0.854,0.869,0.069,0.57,0.693
0.56,0.564,0.092,0.247,0.637
0.961,0.824,0.052,0.753,0.709
0.477,0.436,0.025,0.312,0.678
0.843,0.752,0.43,0.674,0.337
0.357,0.416,0.186,0.197,0.402
0.19,0.235,0.059,0.086,0.489
0.654,0.666,0.1,0.453,0.39
0.494,0.444,0.073,0.23,0.44
0.704,0.776,0.075,0.437,0.613
0.833,0.887,0.012,0.609,0.92
0.796,0.793,0.289,0.625,0.568
0.328,0.328,0.091,0.139,0.327
0.483,0.594,0.063,0.298,0.571
0.511,0.46,0.059,0.278,0.411
0.826,0.759,0.194,0.543,0.483
0.836,0.805,0.129,0.616,0.63
0.475,0.495,0.142,0.289,0.265
0.296,0.416,0.054,0.163,0.437
0.799,0.764,0.131,0.549,0.465
0.865,0.805,0.106,0.674,0.509
0.523,0.512,0.094,0.249,0.589
0.977,0.884,0.073,0.689,0.783
0.487,0.517,0.063,0.236,0.506
0.884,0.782,0.073,0.659,0.634
0.847,0.871,0.049,0.535,0.497
0.61,0.638,0.035,0.366,0.405
0.85,0.877,0.06,0.566,0.575
0.346,0.399,0.056,0.174,0.562
0.192,0.258,0.064,0.069,0.108
0.595,0.634,0.122,0.403,0.467
0.565,0.495,0.105,0.363,0.372
0.858,0.865,0.055,0.538,0.661
0.498,0.506,0.044,0.267,0.545
0.608,0.568,0.071,0.315,0.492
0.468,0.438,0.134,0.253,0.381
0.411,0.519,0.101,0.221,0.595
0.96,0.885,0.034,0.746,0.649
0.725,0.649,0.088,0.47,0.419
0.955,0.888,0.034,0.707,0.678
0.928,0.763,0.048,0.727,0.679
0.811,0.762,0.084,0.617,0.361
0.81,0.755,0.105,0.578,0.553
0.852,0.867,0.043,0.542,0.563
0.839,0.742,0.302,0.676,0.327
0.699,0.674,0.108,0.475,0.5
0.717,0.753,0.021,0.419,0.566
0.834,0.805,0.145,0.59,0.551
0.839,0.778,0.181,0.663,0.339
0.696,0.687,0.067,0.432,0.355
0.684,0.67,0.091,0.458,0.535
0.141,0.208,0.024,0.056,0.5
0.75,0.727,0.158,0.535,0.456
0.366,0.473,0.058,0.106,0.678
0.762,0.697,0.239,0.537,0.413
0.884,0.826,0.101,0.633,0.622
0.49,0.528,0.032,0.23,0.432
0.592,0.614,0.05,0.387,0.577
0.836,0.782,0.122,0.57,0.482
0.482,0.592,0.045,0.249,0.634
0.212,0.324,0.026,0.069,0.633
0.829,0.814,0.054,0.394,0.495
0.828,0.805,0.084,0.586,0.574
0.602,0.635,0.067,0.36,0.495
0.819,0.729,0.069,0.556,0.681
0.863,0.877,0.054,0.504,0.642
0.472,0.449,0.076,0.188,0.495
0.894,0.833,0.12,0.732,0.613
0.575,0.571,0.077,0.378,0.39
0.779,0.725,0.111,0.626,0.319
0.905,0.889,0.078,0.65,0.67
0.371,0.421,0.332,0.211,0.48
0.929,0.875,0.066,0.635,0.654
0.842,0.733,0.256,0.691,0.212
0.032,0.18,0.02,0.014,0.577
0.629,0.576,0.053,0.326,0.508
0.799,0.726,0.138,0.589,0.398
0.677,0.671,0.096,0.431,0.464
0.678,0.709,0.228,0.481,0.553
0.904,0.864,0.103,0.681,0.485
0.16,0.306,0.022,0.112,0.581
0.246,0.477,0.057,0.136,0.518
0.861,0.843,0.115,0.66,0.545
0.667,0.797,0.072,0.413,0.608
0.287,0.449,0.078,0.176,0.502
0.592,0.552,0.076,0.379,0.497
0.797,0.741,0.181,0.599,0.508
0.805,0.729,0.176,0.468,0.566
0.577,0.533,0.144,0.405,0.494
0.847,0.825,0.07,0.65,0.694
0.628,0.574,0.085,0.399,0.506
0.436,0.48,0.203,0.273,0.58
0.855,0.74,0.199,0.68,0.283
0.835,0.772,0.182,0.667,0.358
0.432,0.524,0.123,0.25,0.404
0.417,0.377,0.125,0.196,0.324
0.851,0.817,0.147,0.644,0.628
0.412,0.383,0.144,0.21,0.267
0.914,0.866,0.109,0.7,0.583
0.701,0.639,0.065,0.351,0.497
0.78,0.762,0.165,0.54,0.435
0.214,0.222,0.049,0.028,0.107
0.284,0.497,0.052,0.177,0.417
0.661,0.63,0.166,0.44,0.437
0.845,0.756,0.222,0.626,0.41
0.606,0.556,0.092,0.326,0.467
0.519,0.535,0.081,0.297,0.542
0.784,0.751,0.12,0.56,0.488
0.466,0.51,0.088,0.27,0.426
0.883,0.807,0.161,0.686,0.527
0.664,0.584,0.189,0.459,0.398
0.457,0.487,0.072,0.27,0.526
0.871,0.808,0.195,0.72,0.554
0.836,0.756,0.188,0.61,0.565
0.398,0.372,0.183,0.233,0.182
0.693,0.869,0.034,0.412,0.688
0.406,0.499,0.082,0.216,0.39
0.282,0.307,0.012,0.156,0.559
0.799,0.748,0.209,0.603,0.396
0.54,0.484,0.133,0.313,0.366
0.848,0.858,0.084,0.557,0.654
0.591,0.656,0.148,0.409,0.474
0.574,0.582,0.089,0.375,0.402
0.694,0.856,0.047,0.422,0.661
0.906,0.917,0.056,0.445,0.768
0.898,0.803,0.076,0.734,0.444
0.855,0.777,0.081,0.629,0.485
0.356,0.374,0.048,0.168,0.392
0.879,0.856,0.033,0.679,0.666
0.905,0.961,0.052,0.508,0.745
0.589,0.718,0.11,0.386,0.572
0.568,0.659,0.023,0.323,0.717
0.835,0.715,0.293,0.659,0.324
0.751,0.859,0.046,0.382,0.456
0.848,0.821,0.051,0.555,0.593
0.709,0.713,0.131,0.447,0.568
0.834,0.749,0.157,0.629,0.56
0.869,0.783,0.184,0.695,0.267
0.826,0.734,0.305,0.654,0.357
0.338,0.345,0.044,0.116,0.447
0.85,0.824,0.063,0.607,0.649
0.874,0.824,0.147,0.536,0.538
0.221,0.201,0.066,0.034,0.133
0.404,0.348,0.07,0.202,0.483
0.871,0.802,0.077,0.468,0.542
0.301,0.346,0.09,0.139,0.486
0.464,0.518,0.167,0.27,0.574
0.882,0.89,0.04,0.688,0.684
0.915,0.798,0.093,0.713,0.601
0.56,0.531,0.018,0.249,0.495
0.513,0.483,0.114,0.249,0.483
0.801,0.733,0.217,0.608,0.295
0.43,0.488,0.1,0.271,0.259
0.421,0.475,0.076,0.209,0.495
0.316,0.31,0.052,0.108,0.339
0.635,0.606,0.131,0.398,0.2
0.349,0.431,0.139,0.19,0.583
0.532,0.472,0.031,0.279,0.605
0.633,0.866,0.032,0.336,0.724
0.227,0.295,0.083,0.133,0.364
0.903,0.836,0.049,0.7,0.622
0.843,0.835,0.257,0.655,0.583
0.363,0.358,0.043,0.155,0.416
