TSSM_MIN,TSSM_MAX,TV,PTPM,BSHG
0.536,0.474,0.316,0.108,0.476
0.256,0.303,0.124,0.101,0.357
0.892,0.829,0.616,0.11,0.547
0.902,0.893,0.68,0.067,0.678
0.602,0.632,0.405,0.154,0.464
0.894,0.746,0.733,0.385,0.339
0.786,0.737,0.61,0.183,0.429
0.751,0.758,0.542,0.172,0.627
0.897,0.875,0.679,0.125,0.583
0.932,0.882,0.567,0.033,0.768
0.896,0.89,0.66,0.072,0.703
0.317,0.31,0.16,0.077,0.245
0.411,0.38,0.193,0.073,0.357
0.532,0.561,0.35,0.263,0.497
0.87,0.682,0.712,0.354,0.319
0.858,0.778,0.682,0.164,0.432
0.294,0.33,0.113,0.055,0.482
0.196,0.194,0.041,0.045,0.119
0.595,0.609,0.395,0.061,0.521
0.416,0.38,0.21,0.124,0.229
0.719,0.717,0.42,0.094,0.536
0.452,0.513,0.166,0.067,0.608
0.814,0.828,0.572,0.108,0.438
0.384,0.462,0.207,0.12,0.319
0.866,0.776,0.689,0.144,0.498
0.322,0.322,0.142,0.071,0.401
0.881,0.803,0.677,0.1,0.732
0.818,0.722,0.573,0.09,0.62
0.868,0.766,0.664,0.079,0.467
0.836,0.808,0.617,0.106,0.547
0.776,0.748,0.687,0.202,0.274
0.857,0.805,0.635,0.151,0.554
0.601,0.594,0.383,0.092,0.437
0.827,0.713,0.641,0.472,0.289
0.621,0.623,0.44,0.132,0.37
0.441,0.452,0.176,0.053,0.467
0.552,0.486,0.307,0.15,0.369
0.308,0.483,0.201,0.065,0.608
0.744,0.72,0.522,0.154,0.395
0.456,0.423,0.298,0.079,0.464
0.791,0.763,0.585,0.129,0.489
0.902,0.785,0.719,0.11,0.417
0.853,0.81,0.669,0.238,0.511
0.403,0.374,0.194,0.134,0.316
0.784,0.695,0.582,0.27,0.25
0.629,0.524,0.423,0.306,0.247
0.881,0.819,0.654,0.032,0.711
0.559,0.548,0.314,0.106,0.422
0.455,0.419,0.233,0.08,0.285
0.688,0.662,0.481,0.112,0.486
0.494,0.444,0.23,0.073,0.44
0.673,0.633,0.445,0.196,0.369
0.802,0.734,0.598,0.167,0.508
0.904,0.82,0.647,0.077,0.774
0.799,0.807,0.437,0.041,0.521
0.514,0.463,0.314,0.087,0.405
0.871,0.786,0.658,0.087,0.429
0.483,0.524,0.266,0.06,0.47
0.776,0.681,0.561,0.326,0.247
0.45,0.446,0.268,0.026,0.477
0.878,0.881,0.64,0.084,0.693
0.839,0.815,0.67,0.179,0.628
0.363,0.384,0.15,0.043,0.34
0.607,0.6,0.408,0.06,0.429
0.871,0.77,0.705,0.33,0.241
0.597,0.664,0.4,0.147,0.393
0.454,0.465,0.259,0.121,0.42
0.554,0.533,0.314,0.057,0.544
0.561,0.537,0.372,0.089,0.488
0.863,0.807,0.634,0.154,0.663
0.849,0.765,0.592,0.135,0.577
0.212,0.324,0.069,0.026,0.633
0.714,0.719,0.504,0.077,0.539
0.207,0.265,0.131,0.137,0.345
0.842,0.828,0.584,0.061,0.733
0.766,0.686,0.544,0.275,0.306
0.837,0.77,0.596,0.056,0.491
0.632,0.607,0.426,0.095,0.521
0.832,0.771,0.652,0.151,0.425
0.477,0.453,0.295,0.193,0.352
0.607,0.503,0.347,0.127,0.336
0.496,0.456,0.301,0.132,0.432
0.844,0.794,0.647,0.108,0.565
0.791,0.743,0.64,0.474,0.398
0.508,0.522,0.282,0.038,0.649
0.896,0.875,0.647,0.11,0.678
0.64,0.638,0.454,0.099,0.37
0.931,0.892,0.696,0.061,0.646
0.801,0.733,0.608,0.217,0.295
0.786,0.854,0.595,0.004,0.923
0.715,0.692,0.476,0.111,0.607
0.847,0.71,0.674,0.263,0.289
