TSSM_MAX,TSSM_MIN,TV,PTPM,BSHG
0.852,0.901,0.606,0.144,0.62
0.349,0.298,0.123,0.057,0.462
0.765,0.801,0.607,0.074,0.456
0.762,0.935,0.682,0.061,0.687
0.71,0.65,0.514,0.125,0.39
0.706,0.754,0.539,0.313,0.276
0.284,0.315,0.152,0.1,0.39
0.683,0.665,0.477,0.232,0.581
0.762,0.805,0.614,0.049,0.398
0.377,0.418,0.219,0.165,0.361
0.79,0.786,0.575,0.085,0.494
0.194,0.171,0.093,0.051,0.367
0.736,0.779,0.544,0.091,0.577
0.587,0.579,0.345,0.069,0.408
0.914,0.897,0.734,0.051,0.709
0.793,0.859,0.676,0.194,0.541
0.731,0.794,0.592,0.221,0.429
0.965,0.901,0.517,0.036,0.786
0.908,0.899,0.644,0.047,0.758
0.807,0.835,0.616,0.136,0.584
0.723,0.842,0.626,0.057,0.235
0.495,0.475,0.289,0.142,0.265
0.436,0.431,0.264,0.069,0.464
0.476,0.597,0.385,0.454,0.176
0.91,0.969,0.57,0.031,0.773
0.434,0.396,0.222,0.185,0.258
0.539,0.479,0.238,0.037,0.523
0.815,0.848,0.551,0.086,0.694
0.79,0.826,0.603,0.059,0.503
0.882,0.902,0.635,0.028,0.533
0.828,0.814,0.572,0.108,0.438
0.863,0.917,0.635,0.078,0.587
0.527,0.421,0.241,0.095,0.595
0.578,0.473,0.262,0.105,0.52
0.543,0.522,0.285,0.055,0.599
0.524,0.674,0.397,0.008,0.27
0.613,0.58,0.353,0.081,0.438
0.647,0.666,0.438,0.139,0.551
0.592,0.482,0.249,0.045,0.634
0.651,0.701,0.374,0.076,0.432
0.751,0.816,0.625,0.163,0.512
0.803,0.813,0.583,0.128,0.601
0.741,0.613,0.408,0.115,0.592
0.929,0.894,0.573,0.049,0.806
0.691,0.781,0.451,0.254,0.506
0.712,0.596,0.389,0.124,0.553
0.675,0.716,0.454,0.096,0.339
0.694,0.681,0.418,0.127,0.544
0.555,0.562,0.328,0.066,0.432
0.38,0.411,0.193,0.073,0.357
0.472,0.475,0.245,0.1,0.553
0.49,0.497,0.273,0.06,0.58
0.513,0.454,0.245,0.094,0.483
0.813,0.838,0.535,0.128,0.453
0.786,0.871,0.658,0.087,0.429
0.476,0.431,0.244,0.175,0.411
0.69,0.709,0.42,0.175,0.535
0.742,0.645,0.42,0.033,0.667
0.782,0.808,0.563,0.137,0.42
0.609,0.587,0.328,0.046,0.483
0.491,0.566,0.316,0.16,0.375
0.746,0.795,0.566,0.178,0.405
0.799,0.882,0.645,0.054,0.306
0.795,0.732,0.458,0.098,0.452
0.787,0.908,0.69,0.084,0.568
0.645,0.728,0.512,0.21,0.491
0.701,0.854,0.665,0.619,0.217
0.626,0.632,0.388,0.134,0.419
0.777,0.807,0.606,0.122,0.467
0.812,0.836,0.547,0.079,0.651
0.762,0.818,0.625,0.158,0.486
0.574,0.58,0.354,0.096,0.498
0.742,0.843,0.682,0.2,0.304
0.245,0.218,0.066,0.045,0.196
0.226,0.015,0.02,0.008,0.627
0.861,0.864,0.615,0.062,0.556
0.605,0.642,0.345,0.031,0.497
0.73,0.839,0.658,0.169,0.209
0.767,0.89,0.701,0.298,0.367
0.821,0.836,0.568,0.153,0.7
0.384,0.363,0.15,0.043,0.34
0.482,0.596,0.291,0.102,0.333
0.227,0.127,0.047,0.035,0.483
0.43,0.367,0.213,0.136,0.62
0.861,0.857,0.592,0.029,0.758
0.581,0.598,0.344,0.052,0.301
0.501,0.544,0.361,0.142,0.366
0.836,0.889,0.662,0.06,0.764
0.416,0.296,0.163,0.054,0.437
0.733,0.758,0.509,0.125,0.559
0.715,0.758,0.552,0.121,0.443
0.733,0.8,0.45,0.047,0.634
0.789,0.835,0.664,0.234,0.489
0.869,0.693,0.412,0.034,0.688
0.446,0.415,0.213,0.056,0.405
0.89,0.896,0.66,0.072,0.703
0.734,0.833,0.643,0.257,0.369
0.835,0.876,0.701,0.022,0.655
0.707,0.855,0.676,0.223,0.361
0.614,0.564,0.36,0.112,0.483
0.707,0.657,0.539,0.027,0.477
0.47,0.5,0.306,0.081,0.464
0.544,0.539,0.246,0.095,0.636
0.868,0.819,0.632,0.023,0.741
0.731,0.834,0.662,0.207,0.357
0.652,0.647,0.405,0.102,0.384
0.619,0.595,0.379,0.092,0.348
0.791,0.812,0.561,0.098,0.575
0.714,0.684,0.438,0.068,0.592
0.592,0.469,0.261,0.097,0.568
0.487,0.538,0.328,0.166,0.315
0.742,0.791,0.632,0.129,0.389
0.808,0.807,0.556,0.123,0.554
0.917,0.878,0.621,0.025,0.864
0.754,0.847,0.624,0.093,0.224
0.786,0.719,0.465,0.116,0.45
0.495,0.52,0.256,0.095,0.423
0.302,0.282,0.149,0.075,0.459
0.764,0.88,0.679,0.105,0.553
0.535,0.482,0.285,0.062,0.396
0.719,0.714,0.504,0.077,0.539
0.348,0.327,0.102,0.069,0.483
0.576,0.586,0.355,0.067,0.383
0.766,0.861,0.694,0.208,0.337
0.875,0.867,0.617,0.065,0.663
0.771,0.816,0.57,0.205,0.521
0.306,0.257,0.157,0.095,0.432
0.491,0.409,0.204,0.08,0.386
